Mes-Ano,Valor Fatura,Média,% Acima/Abaixo 
jan-2022,"154971,12",154971.1180138002,
fev-2022,"173720,35",164345.73298880004,"5,70%▲"
mar-2022,"206924,39",178538.61965573346,"15,90%▲"
abr-2022,"206625,87",195756.86905500013,"5,55%▲"
mai-2022,"215219,13",209589.7952544001,"2,69%▲"
jun-2022,"214373,85",212072.9480987334,"1,08%▲"
jul-2022,"209026,58",212873.18666753362,"'-1,81% ▼"
ago-2022,"220576,68",214659.0369794002,"2,76%▲"
set-2022,"218923,27",216175.50846853337,"1,27%▲"
out-2022,"218158,84",219219.59341199975,"'-0,48% ▼"
nov-2022,"228616,16",221899.42223999999,"3,03%▲"
dez-2022,"233826,08",226867.0262631999,"3,07%▲"
